wavelength,radiance,aot550
0.47750000000000004,46.116,0.1
0.56125,50.556,0.1
0.65875,46.947,0.1
0.8262499999999999,139.393,0.1
1.6487500000000002,21.32,0.1
2.19625,4.115,0.1
0.47750000000000004,43.938,0.5
0.56125,48.378,0.5
0.65875,45.222,0.5
0.8262499999999999,138.437,0.5
1.6487500000000002,20.974,0.5
2.19625,3.941,0.5
0.47750000000000004,41.187,1.0
0.56125,45.53,1.0
0.65875,42.824,1.0
0.8262499999999999,135.167,1.0
1.6487500000000002,20.319,1.0
2.19625,3.701,1.0
